plot,year,OM,P1,P2,Bic,K,Mg,Ca,pH,CEC,K.sat,Mg.sat,Ca.sat,H.sat,C.tot,N.tot,C:N,tex5,tex20
1048,2010,5.8,4,7,NA,76,84,568,4.5,8.9,2.2,7.9,31.9,58,4.9,0.26,19.1,1,1
1050,2010,5.4,4,6,NA,59,44,281,4.1,7.4,2,5,19,74,3.36,0.14,23.5,1,1
1051,2010,6.1,2,3,NA,99,104,455,4.5,8.1,3.1,10.7,28.1,58.1,3.78,0.23,16.3,1,2
1052,2010,2.6,6,39,NA,113,106,1856,7.4,10.5,2.8,8.4,88.8,NA,2.47,0.14,17.2,2,2
1053,2010,2.4,2,11,NA,50,67,1957,7.2,10.5,1.2,5.3,93.5,NA,2.05,0.1,20.3,1,1
1054,2010,7.5,5,10,NA,141,222,2026,6.4,13.5,2.7,13.7,75,8.6,5.86,0.39,15.1,1,1
1055,2010,7.4,4,5,NA,57,78,569,4.9,6.5,2.2,10,43.8,44,4.94,0.2,24.9,3,3
1057,2010,4.7,16,36,NA,63,127,1240,5.8,9.1,1.8,11.6,68.1,18.5,3.73,0.21,17.5,1,1
1058,2010,6,8,29,NA,81,218,1884,6.8,11.4,1.8,15.9,82.3,NA,4.13,0.23,17.7,1,1
1060,2010,8,4,5,NA,96,97,710,4.6,10,2.5,8.1,35.5,53.9,6.32,0.35,18.3,1,1
1061,2010,6.3,3,4,NA,94,135,446,4.6,7.8,3.1,14.4,28.6,53.9,4.35,0.28,15.8,1,1
1064,2010,6.4,5,6,NA,49,49,373,3.7,13.3,0.9,3.1,14,82,4.54,0.27,17,1,1
1065,2010,5.5,7,12,NA,88,176,972,5.4,9.2,2.5,15.9,52.8,28.8,4.23,0.25,16.9,1,1
1066,2010,5.1,5,57,NA,76,74,488,4.4,8.6,2.3,7.2,28.4,62.1,3.31,0.23,14.1,1,1
1067,2010,4.6,2,4,NA,83,82,417,4.7,6,3.5,11.4,34.8,50.3,3.3,0.2,16.2,2,1
1068,2010,4.8,4,5,NA,65,171,1378,5.8,10.5,1.6,13.6,65.6,19.2,3.29,0.2,16.6,1,1
1069,2010,3.1,4,11,NA,50,146,1202,5.6,9.7,1.3,12.5,62,24.2,2.28,0.18,13,1,1
1070,2010,5.9,8,10,NA,62,101,522,4,15.3,1,5.5,17.1,76.4,6.53,0.37,17.7,1,3
1071,2010,5.4,3,16,NA,113,197,1921,5.8,14.2,2,11.6,67.6,18.8,4.57,0.31,14.8,1,1
1072,2010,6.3,5,9,NA,73,58,306,4.3,6.5,2.9,7.4,23.5,66.2,4.74,0.25,19,2,2
1073,2010,4.4,29,63,NA,122,144,1337,6.1,9.5,3.3,12.6,70.4,13.7,2.94,0.2,14.6,2,1
1074,2010,3.5,7,9,NA,63,63,428,4.4,7.4,2.2,7.1,28.9,61.8,3.51,0.19,18.1,1,1
1075,2010,5.7,4,8,NA,102,163,1076,5.2,10.7,2.4,12.7,50.3,34.6,3.82,0.23,16.7,1,1
1077,2010,5.5,4,6,NA,78,121,1002,5.1,10,2,10.1,50.1,37.8,3.51,0.22,15.7,2,2
1080,2010,6.6,6,15,NA,85,201,1798,5.4,15.2,1.4,11,59.1,28.5,4.74,0.31,15.3,2,2
1081,2010,6.9,1,7,NA,53,63,362,4.5,5.9,2.3,8.9,30.7,58.1,4.78,0.28,17,1,1
1082,2010,4.2,2,5,NA,103,173,1657,6,11.8,2.2,12.2,70.2,15.4,3.12,0.24,13.1,1,2
1083,2010,4.1,2,4,NA,64,42,255,4.5,4.3,3.8,8.1,29.7,58.4,2.95,0.17,17.7,1,1
1086,2010,3.1,5,25,NA,145,198,1349,6.2,10,3.7,16.5,67.5,12.3,2.3,0.16,14,1,1
1087,2010,4.9,2,5,NA,91,59,295,4.2,7.3,3.2,6.7,20.2,69.9,4.17,0.24,17.2,2,2
1089,2010,4.3,3,4,NA,60,98,490,4.6,7.4,2.1,11,33.1,53.8,3.72,0.17,21.8,1,1
1090,2010,3.9,3,5,NA,59,63,344,4.2,8,1.9,6.6,21.5,70,2.35,0.17,14.1,1,1
1091,2010,6.6,3,6,NA,80,119,904,4.9,10.2,2,9.7,44.3,44,4.53,0.29,15.5,1,2
1092,2010,6.2,1,5,NA,74,52,304,4.5,5.1,3.7,8.5,29.8,58,4.35,0.25,17.2,1,2
1093,2010,4.3,2,7,NA,64,84,357,4.6,5.7,2.9,12.3,31.3,53.5,3.05,0.18,16.6,1,1
1094,2010,2.7,3,23,NA,96,176,2261,7.6,13,1.9,11.3,86.8,NA,3.31,0.17,19.4,1,2
1097,2010,7.5,2,7,NA,71,50,272,4.2,6.6,2.8,6.3,20.6,70.3,5.38,0.28,19.5,1,1
1098,2010,1.7,3,24,NA,46,133,1092,6.4,7.4,1.6,15,73.8,9.6,1.29,0.1,13.6,3,3
1099,2010,5.5,1,8,NA,54,47,287,4.1,7.6,1.8,5.2,18.9,74.1,4.67,0.2,23.2,1,2
1100,2010,9.2,1,9,NA,55,68,502,4.2,10.7,1.3,5.3,23.5,69.9,6.11,0.28,21.9,1,1
1101,2011,5.3,13,21,NA,81,60,300,4.6,5.8,3.6,8.6,25.8,62,3.1,0.234,13.1,1,1
1102,2011,8,12,23,NA,99,260,1650,6.4,11.9,2.1,18.3,69.5,10.1,4.6,0.38,12.2,1,1
1103,2011,5.2,4,7,NA,132,115,750,5.5,7.4,4.5,12.9,50.4,32.2,3,0.174,17.3,1,1
1104,2011,4.6,9,14,NA,82,175,1050,6.1,8.1,2.6,18,64.7,14.8,2.7,0.243,11,1,1
1105,2011,8.6,3,4,NA,70,75,350,4.3,17,1.1,3.7,10.3,84.9,5,0.282,17.7,1,1
1110,2011,7.3,8,9,NA,74,70,250,3.9,21.2,0.9,2.7,5.9,90.5,4.2,0.36,11.8,2,2
1111,2011,5.1,5,6,NA,62,70,300,4.4,15.4,1,3.8,9.7,85.5,3,0.194,15.2,1,1
1112,2011,4.4,6,11,NA,64,170,1200,6.3,8.8,1.9,16.1,68.3,13.7,2.6,0.23,11.1,1,1
1113,2011,5.1,2,3,NA,50,65,250,4.4,13.9,0.9,3.9,9,86.2,3,0.263,11.2,1,1
1114,2011,7.8,20,23,NA,74,90,450,4,18.8,1,4,12,83,4.5,0.396,11.4,1,1
1115,2011,6.2,8,9,NA,83,70,350,4.1,14.5,1.5,4,12,82.5,3.6,0.337,10.7,1,1
1116,2011,6.5,13,32,NA,106,225,1300,5.7,12.2,2.2,15.3,53.1,29.4,3.8,0.374,10.1,1,1
1117,2011,5.2,7,8,NA,57,95,400,4.4,13.7,1.1,5.8,14.6,78.6,3,0.321,9.4,1,1
1122,2011,5.4,5,6,NA,79,110,500,4.6,8.4,2.4,10.9,29.7,57,3.1,0.269,11.6,1,1
1124,2011,5.5,5,8,NA,72,125,500,4.9,8.5,2.2,12.2,29.3,56.3,3.2,0.255,12.5,1,1
1125,2011,6.4,5,6,NA,64,160,850,5.1,10.5,1.6,12.6,40.3,45.5,3.7,0.326,11.4,1,1
1126,2011,6,4,5,NA,83,175,850,5.1,10.7,2,13.6,39.6,44.8,3.5,0.273,12.7,1,1
1127,2011,5.9,2,3,NA,43,35,150,4.3,22.8,0.5,1.3,3.3,94.9,3.4,0.207,16.5,1,1
1128,2011,6.3,7,8,NA,68,60,200,4.2,14.9,1.2,3.4,6.7,88.7,3.7,0.312,11.7,1,1
1129,2011,5.1,3,4,NA,86,60,200,4.2,14.9,1.5,3.4,6.7,88.5,3,0.206,14.4,1,1
1131,2011,6.4,10,11,NA,83,55,200,4.2,18.5,1.2,2.5,5.4,91,3.7,0.37,10,1,1
1132,2011,16.3,5,16,NA,54,235,2350,5.9,17.4,0.8,11.2,67.3,20.6,9.5,0.752,12.6,1,1
1134,2011,4.9,8,14,NA,49,75,550,5.5,5.9,2.1,10.6,46.6,40.7,2.8,0.159,17.9,1,1
1135,2011,6.5,4,5,NA,77,85,500,4.8,8.2,2.4,8.6,30.5,58.5,3.8,0.328,11.5,1,1
1136,2010,8.6,4,5,NA,69,53,215,4,7.2,2.5,6.1,14.9,76.5,5.67,0.22,26.4,1,1
1140,2011,10.2,7,8,NA,67,50,150,3.7,20.5,0.8,2,3.7,93.5,5.9,0.466,12.7,1,1
1141,2011,9.2,16,18,NA,157,240,1250,5.3,13.5,3,14.9,46.5,35.7,5.3,0.514,10.4,2,1
1143,2011,6.2,6,7,NA,72,205,1200,6.1,10.3,1.8,16.6,58.3,23.3,3.6,0.263,13.7,1,1
1144,2011,5.8,5,9,NA,53,100,550,4.7,8.5,1.6,9.8,32.3,56.3,3.4,0.213,15.8,1,3
1145,2011,8.2,10,12,NA,76,115,750,4.9,9.7,2,9.9,38.6,49.5,4.8,0.319,14.9,1,1
1146,2011,5.5,6,7,NA,100,150,650,5.1,9.6,2.7,13.1,34,50.2,3.2,0.302,10.4,1,2
1147,2011,7,5,6,NA,54,60,200,4.1,14.8,0.9,3.4,6.7,89,4.1,0.307,13.2,1,1
1148,2011,14.6,10,14,NA,77,430,2700,6.8,17.8,1.1,20.1,75.8,3,8.5,0.549,15.4,1,1
1149,2011,5.8,14,16,NA,101,75,350,4.9,6.2,4.2,10,28.1,57.7,3.4,0.286,11.8,1,1
1150,2011,7.5,15,17,NA,134,135,650,4.6,10.7,3.2,10.5,30.3,56,4.4,0.334,13,1,2
1151,2011,5.6,4,5,NA,90,175,550,4.8,9.2,2.5,15.8,29.8,52,3.2,0.359,9,1,1
